timestamp,temp,moisture,red,deepRed,blue,green_before,resistor_average_before,action,green_after,resistor_average_after,reward
2025-05-18 05:55:19.939547,19.5,82.8,262.0,34.0,76.0,7.0,72.58,3,14.0,72.58,4.8999999999999995
2025-05-18 05:55:19.939547,19.5,82.8,262.0,34.0,76.0,7.0,72.58,3,14.0,72.58,4.8999999999999995
2025-05-18 06:01:21.332973,20.3,91.9,248.0,35.0,75.0,8.0,71.5,1,3.0,73.17,-2.9989999999999997
2025-05-18 05:55:19.939547,19.5,82.8,262.0,34.0,76.0,7.0,72.58,3,14.0,72.58,4.8999999999999995
2025-05-18 06:01:21.332973,20.3,91.9,248.0,35.0,75.0,8.0,71.5,1,3.0,73.17,-2.9989999999999997
2025-05-18 06:07:22.692417,20.9,81.2,246.0,36.0,74.0,2.0,73.0,2,0.0,71.83,-1.7510000000000003
2025-05-18 05:55:19.939547,19.5,82.8,262.0,34.0,76.0,7.0,72.58,3,14.0,72.58,4.8999999999999995
2025-05-18 06:01:21.332973,20.3,91.9,248.0,35.0,75.0,8.0,71.5,1,3.0,73.17,-2.9989999999999997
2025-05-18 06:07:22.692417,20.9,81.2,246.0,36.0,74.0,2.0,73.0,2,0.0,71.83,-1.7510000000000003
2025-05-18 06:13:23.998973,20.9,85.6,0.0,0.0,0.0,3.0,71.42,0,0.0,71.42,-2.0999999999999996
2025-05-18 05:55:19.939547,19.5,82.8,262.0,34.0,76.0,7.0,72.58,3,14.0,72.58,4.9
2025-05-18 05:55:19.939547,19.5,82.8,262.0,34.0,76.0,7.0,72.58,3,14.0,72.58,4.9
2025-05-18 06:01:21.332973,20.3,91.9,248.0,35.0,75.0,8.0,71.5,1,3.0,73.17,-2.999
2025-05-18 05:55:19.939547,19.5,82.8,262.0,34.0,76.0,7.0,72.58,3,14.0,72.58,4.9
2025-05-18 06:01:21.332973,20.3,91.9,248.0,35.0,75.0,8.0,71.5,1,3.0,73.17,-2.999
2025-05-18 06:07:22.692417,20.9,81.2,246.0,36.0,74.0,2.0,73.0,2,0.0,71.83,-1.7510000000000003
2025-05-18 05:55:19.939547,19.5,82.8,262.0,34.0,76.0,7.0,72.58,3,14.0,72.58,4.9
2025-05-18 06:01:21.332973,20.3,91.9,248.0,35.0,75.0,8.0,71.5,1,3.0,73.17,-2.999
2025-05-18 06:07:22.692417,20.9,81.2,246.0,36.0,74.0,2.0,73.0,2,0.0,71.83,-1.7510000000000003
2025-05-18 06:13:23.998973,20.9,85.6,0.0,0.0,0.0,3.0,71.42,0,0.0,71.42,-2.1
2025-05-18 13:35:36.956241,23.4,68.5,244.0,35.0,74.0,4.0,71.0,0,7.0,70.58,1.973999999999999
2025-05-18 05:55:19.939547,19.5,82.8,262.0,34.0,76.0,7.0,72.58,3,14.0,72.58,4.9
2025-05-18 05:55:19.939547,19.5,82.8,262.0,34.0,76.0,7.0,72.58,3,14.0,72.58,4.9
2025-05-18 06:01:21.332973,20.3,91.9,248.0,35.0,75.0,8.0,71.5,1,3.0,73.17,-2.999
2025-05-18 05:55:19.939547,19.5,82.8,262.0,34.0,76.0,7.0,72.58,3,14.0,72.58,4.9
2025-05-18 06:01:21.332973,20.3,91.9,248.0,35.0,75.0,8.0,71.5,1,3.0,73.17,-2.999
2025-05-18 06:07:22.692417,20.9,81.2,246.0,36.0,74.0,2.0,73.0,2,0.0,71.83,-1.7510000000000003
2025-05-18 05:55:19.939547,19.5,82.8,262.0,34.0,76.0,7.0,72.58,3,14.0,72.58,4.9
2025-05-18 06:01:21.332973,20.3,91.9,248.0,35.0,75.0,8.0,71.5,1,3.0,73.17,-2.999
2025-05-18 06:07:22.692417,20.9,81.2,246.0,36.0,74.0,2.0,73.0,2,0.0,71.83,-1.7510000000000003
2025-05-18 06:13:23.998973,20.9,85.6,0.0,0.0,0.0,3.0,71.42,0,0.0,71.42,-2.1
2025-05-18 13:35:36.956241,23.4,68.5,244.0,35.0,74.0,4.0,71.0,0,7.0,70.58,1.973999999999999
